id,commitment,MathStep,Contour,Loom,MPL,Mosaic,Motive,Outline,Reason,Spine
1,Lean-hosted layer; no new kernel or foundation,Y,Y,Y,Y,Y,Y,Y,Y,Y
2,Formulas reuse Lean's term language initially,Y,Y,Y,Y,Y,Y,Y,Y,Y
3,Escape hatch to ordinary Lean under the same checks,Y,Y,Y,Y,Y,Y,Y,Y,Y
4,Typed step with a contract as the basic unit,Y,Y,Y,Y,Y,Y,Y,Y,Y
5,Theorem statement frozen before proof search,Y,Y,Y,Y,Y,Y,Y,Y,Y
6,Obligation ledger with ordered dependent telescopes,Y,Y,Y,Y,Y,Y,Y,Y,Y
7,Three synchronised views (argument / obligations / evidence),Y,Y,Y,Y,Y,Y,Y,Y,P
8,Explicit induction motive and generalizing,Y,Y,Y,Y,Y,Y,Y,Y,Y
9,Witness scope; Prop-vs-data distinction for choose,Y,Y,Y,Y,Y,Y,Y,Y,Y
10,Deterministic resolution of anaphora,P,Y,Y,Y,Y,Y,Y,P,Y
11,Distinct using / using only / preference semantics,Y,P,Y,P,Y,P,Y,Y,Y
12,Registered versioned domain methods with contracts,Y,Y,Y,Y,Y,Y,Y,Y,Y
13,Certified representation views with explicit direction,Y,Y,Y,Y,Y,Y,Y,Y,Y
14,Finite reindexing requires bijection or multiplicity accounting,P,Y,Y,Y,P,Y,Y,Y,Y
15,Locality / derivative-transfer contract developed,Y,N,Y,Y,N,N,P,Y,P
16,WLOG as coverage plus transport theorem,Y,Y,P,Y,Y,Y,Y,Y,Y
17,Analytic moves require a named theorem's exact hypotheses,Y,Y,P,Y,P,Y,P,P,Y
18,Binder bounds become scoped side-condition facts,Y,Y,Y,Y,Y,Y,Y,Y,Y
19,Leant as structural-plumbing service behind an adapter; staged late,Y,Y,Y,Y,Y,Y,Y,Y,Y
20,Result taxonomy; search failure is never refutation,Y,Y,Y,Y,Y,Y,Y,Y,Y
21,Callback receipt is not a kernel certificate (Leant Verified),Y,P,Y,P,Y,P,Y,Y,Y
22,Candidate identity bound to the exact request not its spelling,Y,Y,Y,Y,Y,Y,Y,Y,Y
23,Multi-criteria ranking; term length is not the objective,Y,Y,Y,Y,Y,Y,Y,Y,Y
24,Shared metavariables solved transactionally,Y,Y,Y,Y,P,N,Y,P,Y
25,Data synthesis needs a behavioural specification,Y,Y,Y,Y,Y,Y,Y,Y,Y
26,Discovery mode vs search-free replay; lock or certificate artifact,Y,Y,Y,Y,Y,Y,Y,Y,Y
27,Transitive axiom allowlist; version-aware,Y,Y,Y,Y,Y,Y,Y,Y,Y
28,Execution isolation of untrusted proof producers,Y,Y,Y,Y,Y,Y,Y,Y,Y
29,A hash identifies evidence; it is not evidence,Y,Y,Y,Y,Y,Y,Y,Y,Y
30,Statement fidelity separate from validity; semantic diff,Y,Y,Y,Y,Y,Y,Y,Y,Y
31,Explanatory fidelity as a third notion; stricter optional profile,Y,Y,Y,Y,Y,Y,Y,Y,Y
32,Repair after library change is an explicit semantic change,Y,Y,Y,Y,Y,Y,Y,Y,Y
33,Refactored-Lean baseline with the same helper lemmas,Y,Y,Y,Y,Y,Y,Y,Y,Y
34,Theorem-leakage control in benchmarks,N,Y,Y,P,P,Y,Y,P,Y
35,Negative test suite as part of the specification,Y,Y,Y,Y,Y,Y,Y,Y,Y
36,Amortised accounting of adapters and helper libraries,Y,Y,Y,Y,Y,Y,Y,Y,Y
37,Multi-dimensional cost objective,Y,P,Y,Y,Y,Y,Y,Y,Y
38,Human comprehension tasks in the evaluation,Y,Y,Y,Y,Y,Y,Y,Y,Y
39,First slice without automation; natural language last,Y,Y,Y,Y,Y,Y,Y,Y,Y
40,Already-short proofs acknowledged as negative controls,Y,Y,Y,Y,Y,Y,Y,Y,Y
