id,commitment,Alder,Bryony,Clover,Fennel,Heather,Juniper,Laurel,Rowan,Sorrel,stated_in_round3_syntheses
A1,Extend the elaborator's typing discipline first; the kernel is unchanged in the first implementation,Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
A2,"Lean already expresses the properties; the extension is the checking discipline, not the logic",Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
A3,"A primitive refinement former (pack, value, evidence, proof-directed weakening) is a later, measured experiment",Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
A4,No semantic subtyping or equality reflection in conversion; no CAS inside definitional equality,Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
A5,"The objection to semantic conversion is predictability and trusted surface, not `a timeout means false'",Y,Y,Y,Y,P,Y,Y,Y,P,no
A6,Failure to infer a property is not evidence that it is false,Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
A7,Definitional functoriality of coercions is named as a separate metatheoretic experiment,Y,Y,Y,N,P,N,N,P,N,no
B1,A proved property enriches the same term; the object is never rebound to a subtype locally,Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
B2,Weakening applies a proved implication; equality transports by elimination; other relations need a consumer theorem,Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
B3,"An anchor is the elaborated term with its structures and context, never a printed name or a hash",Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
B4,Branch-local facts do not leak to siblings; leaving a branch exports an implication,Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
B5,A written preservation theorem: the core rules translate to ordinary Lean terms without new axioms,Y,P,Y,Y,Y,Y,P,Y,Y,yes
B6,"Three hole classes: meaning-bearing, proof, and authorized witness under a fixed specification",Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
B7,"Hole classification is by dependency closure of the sealed target, not by the printed type of a metavariable",Y,Y,Y,P,P,Y,P,P,Y,no
B8,First implementation: the sealed target contains no metavariables at all (proof goals live in the term),N,N,N,Y,N,N,N,Y,N,no
B9,Providers run on a copy of the state; commit re-checks the returned term at the sealed target in the original context,Y,Y,Y,Y,Y,P,P,Y,Y,no
