id,mutation,required_response,inherits_round3,reports,Alder,Bryony,Clover,Fennel,Heather,Juniper,Laurel,Rowan,Sorrel
S1,Differentiate from equality at one point instead of on a neighbourhood,"Locality obligation stays open; f(t)=t, g(t)=0 at 0",N1,9,T,P,T,T,T,T,T,T,T
S2,Specialise the induction hypothesis to one point before the successor step,Request the set-wide or neighbourhood assertion,N2,7,T,,T,T,P,T,P,T,
S3,Invert a nonzero or regular element as if it were a unit; cast a source-nonzero denominator into positive characteristic,Request the destination unit; no ring change,N3,9,P,P,T,P,T,T,T,P,P
S4,"Cast an inexact integer quotient, or drop one Frey divisibility premise",Exactness obligation stays open; the four neighbours fail the corresponding divisibility,N25,9,T,E,E,E,T,E,E,E,E
S5,Test an arithmetic contract only inside a contradictory Frey package,"Use the satisfiable helper context with fixture (3,2,5)",N26,9,P,T,P,T,P,P,T,P,T
S6,Infer a finite free representing algebra from finite indexing alone,Construction contract not established; Q[X] obstruction,N49,8,P,P,T,T,T,P,,T,T
S7,"Evaluate at a point from an a.e. fact, or change the measure beneath it",Require a new relation or checked transport,N34,9,P,E,T,T,T,P,T,P,T
S8,Merge an uncountable family of a.e. statements,Uniform-null-set obligation remains,N35,7,,P,T,T,,P,T,P,P
S9,Refute a List Empty length law with an unrealisable positive length,No source refutation; admit the one-point frame,N22,9,E,P,E,T,E,T,E,E,E
S10,"Offer (1,0) as a witness against a law on a list and its reverse",Not realizable on the diagonal; require joint realization,N52,8,E,P,E,T,E,,E,E,P
S11,"Reuse the unrestricted frame under a guard (even lengths, length exactly 100, nonempty lists)",Recompute the frame for the admissible image,,4,,,P,,E,,P,E,
S12,"Treat an empty admissible domain as an empty element type, or fabricate a base point",Vacuous case handled by an emptiness proof; no base point,,5,P,,P,,P,,P,E,
S13,"Refute one completion, then reject every completion of the sketch",Only the completion is refuted,N24,9,P,P,P,P,P,P,P,P,P
S14,Use a passive provider law (Length contract text) as a theorem,"Heuristic only, or a visibly conditional result",N21,9,P,P,T,P,T,P,T,P,P
S15,Grant a polymorphic function a free theorem,Require a uniformity theorem or a restricted grammar,N23,5,,P,P,P,P,,,,P
S16,An unseeded cycle P -> Q -> P,Proves nothing; both frontiers empty,,9,E,E,E,E,P,E,E,E,E
