id,question,modal_answer,variation
S1,Smallest useful step contract,"An ordinary theorem behind a project-owned wrapper with roles; a richer computational interface only for algorithms, certificates, dependent outputs, or precision","Cadence and Prism name three implementation families (theorem, computation, structural plan); Locus adds a fourth request purpose (tactic edit)"
S2,Does a stated reason constrain the proof?,Yes for a named method; an explicit open search does not; a different proof is a visible plan edit,Unanimous
S3,Which choices may automation make?,"Proof evidence and certified representation changes of the same retained object; new witnesses, branches, motives, structures, and statements are reviewable",Prism adds delegation by specification as a third automatic class
S4,What does a verified suggestion guarantee?,"The exact displayed edit replayed from its origin, with progress, root completion, and policy as separate receipts",Cadence and Meridian enumerate four statuses; Prism three; Locus and Vantage give step-by-step protocols
S5,How is infrastructure cost counted?,"Share every wrapper, algorithm, and checker with the Lean baseline; report L, A_i, R_i and observed reuse",Unanimous; Facet adds a five-arm nested design
S6,How do views compose?,Ordered dependent guards at the retained intermediate object; pinned routes; coherence only at a shared anchor or registered observation,Vantage and Prism prove anchor-relative coherence; Cadence proves it per observation; none proposes global confluence
S7,What protects statement fidelity?,"Render domains, quantifier dependence, structures, branches, precision; notices are distinct from obligations",Unanimous
S8,What survives replay and upgrades?,Retained terms or certificates are authoritative for the pinned environment; source is a companion; an upgrade yields a new receipt,Prism names three replay levels; Meridian three retained evidence forms
S9,How do definitions and observational replacement enter?,Specification templates with proved interface lemmas and pinned representatives; replacement only with explicit transport evidence,"First template differs: formal series (Locus, Concord, Facet, Noema), partial expressions and polynomials (Meridian), EGF coordinates (Prism, Vantage), finite sums and jets (Accord, Cadence)"
S10,What belongs in the published view?,Choices and substantial premises visible; routine evidence collapsed but present; rejected alternatives optional,Unanimous; Prism adds a representation view; Meridian proposes contract-surprise and guard-surprise measures
B1,Document view or input form?,"Both, over one typed record; lift existing Lean first; keep only the view if authoring does not improve",Unanimous
B2,How much of the routine profile is routine?,Instrument actual attempts under fixed budgets; lexical counts cannot answer,Unanimous
B3,Where does analysis plumbing belong?,A composite ordinary theorem for locality and derivative transfer; symbolic differentiation is a separate provider,Unanimous
B4,Do annotated theorems survive refactoring?,Roles on a project-owned typed wrapper checked against the telescope; neither position nor binder name alone,Unanimous; Prism proposes a versioned wrapper schema
B5,How is a notice dismissed?,"Per resolved expression or explicit project convention, keyed to meaning; dismissal never discharges a guard; a semantic change invalidates it",Unanimous
B6,What is the unit of replay?,A typed node with retained evidence in a pinned environment; certificate replay and term replay are distinct modes,Unanimous
B7,Is Leant's three-way outcome enough for every provider?,"Adopt a structured taxonomy, keep abstraction diagnostics separate from proof dependencies, require checked negative evidence","Concord, Facet, and Vantage add the excluded-middle argument that non-derivability is not negation"
B8,Is structural synthesis worth an adapter?,Measure compositions separately from single-lemma lookup; keep the adapter optional,Unanimous
B9,What does a data hole look like when published?,The accepted object and its full specification; alternatives are optional exploration history,Unanimous
B10,Where does the definition layer start?,"Two or three templates (formal series, finite family, algebraic object, EGF), not a definition language",Same spread as S9
B11,Who owns conflicting contracts?,"Namespaced, versioned packages with owners; lexical selection; never import order",Unanimous
B12,What is the stopping rule?,"A library, certificate API, or document renderer is a success; new syntax must earn its place in the shared-library comparison",Unanimous
