group,id,commitment,Locus,Accord,Cadence,Concord,Facet,Meridian,Noema,Prism,Vantage,explicit,explicit_or_partial,stated_in_round1_syntheses
Inherited foundation,A1,Lean remains the checking host; no new kernel or logic,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Inherited foundation,A2,Statement meaning is fixed before search; a producer cannot instantiate a meaning-bearing hole,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Inherited foundation,A3,Obligations are ordered dependent telescopes with witness scope,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Inherited foundation,A4,Methods are ordinary theorems with roles behind a project-owned wrapper,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Inherited foundation,A5,A named reason constrains the proof; an open search reason does not,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Inherited foundation,A6,"Publication checks every formal assertion, including unused ones",Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Inherited foundation,A7,Two frontends over one typed record; a library or document view is a successful outcome,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Inherited foundation,A8,Three-treatment evaluation with shared infrastructure and explicit cost accounting,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Inherited foundation,A9,"The corpus audit is a lexical classification, not a savings estimate",Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Inherited foundation,A10,"Edits are classified as evidence, plan, object, or statement changes",Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Result contracts,B1,A computed answer is a value together with a proof of a fixed specification,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Result contracts,B2,An explicit taxonomy of result kinds with forbidden promotions,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Result contracts,B3,A witness is not a complete solution set; coverage is separate evidence,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Result contracts,B4,A conditional result is an implication; a guard is never silently added to the theorem statement,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Result contracts,B5,An enclosure is not an equality; an interval containing zero decides no strict sign,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Result contracts,B6,A product identity is not an irreducible factorization,Y,Y,Y,Y,P,Y,Y,Y,Y,8,9,no
Result contracts,B7,"Finite jet, full series identity, and analytic function are three different claims",Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Result contracts,B8,The mathematical kind of a result is separated from its validation state,P,Y,Y,Y,P,Y,P,Y,Y,6,9,no
Verified CAS,C1,"Two lanes: a verified algorithm, and a verified checker of an untrusted certificate",Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Verified CAS,C2,"A third lane: proof-producing tactics, or a candidate followed by an ordinary proof",P,P,P,Y,Y,Y,P,Y,P,4,9,no
Verified CAS,C3,The execution gap: a correctness theorem does not certify a particular native run,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Verified CAS,C4,"Native-computation axioms are audited by inventory, not by a blacklisted name",Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Verified CAS,C5,Reification is part of the proof boundary; opaque atoms carry exact identities,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Verified CAS,C6,Ideal-membership certificates with their limits stated (no negative result; powers need regularity),Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Verified CAS,C7,The polyrith shutdown is discussed explicitly as a design rule (service-independent evidence),N,N,Y,Y,N,Y,Y,Y,Y,6,6,no
Verified CAS,C8,"A small verified core (exact scalars, polynomials, finite sums, jets), not a universal simplifier",Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Verified CAS,C9,Search-free replay is not computation-free; checking cost is measured,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Verified CAS,C10,"Certificate size, degree, and checker cost are bounded in the protocol",Y,Y,P,P,P,Y,Y,P,Y,5,9,no
Representations and definitions,D1,The mathematical object is a stable anchor; a representation is a certified relation to it,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Representations and definitions,D2,Exact presentations are distinguished from information-losing observations,Y,Y,Y,Y,Y,P,Y,Y,Y,8,9,no
Representations and definitions,D3,Preservation along a map is distinguished from reflection back,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Representations and definitions,D4,Guards compose as an ordered dependent telescope at the retained intermediate object,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Representations and definitions,D5,Coherence: routes are pinned; agreement is anchor- or observation-relative; conflicts need selection,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Representations and definitions,D6,Unit is not nonzero; a CAS may not strengthen a ring to a field,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Representations and definitions,D7,Guarded natural subtraction and exact division as the three-view stress test,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Representations and definitions,D8,"Definition packages or templates generate proof obligations, never hidden axioms",Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Representations and definitions,D9,A normalized-coefficient (EGF) interface as an early package,N,P,Y,P,P,N,N,Y,Y,3,6,no
Representations and definitions,D10,A precision calculus for jets: differentiation loses one order; substitution needs a zero constant,Y,P,Y,Y,Y,P,Y,Y,Y,7,9,no
Representations and definitions,D11,Demand-driven precision planning; precision is part of the cache key,Y,N,P,Y,P,P,Y,Y,Y,5,8,no
Representations and definitions,D12,A residual certificate identifies a finite jet with an implicitly defined series,Y,N,P,Y,P,Y,N,N,N,3,5,no
Representations and definitions,D13,"Partial expressions (domain, value) as an explicit opt-in semantics beside total operations",Y,P,P,P,P,Y,P,P,P,2,9,no
Representations and definitions,D14,No global canonical form; CAS results never enter definitional equality,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Negative evidence and Leant,E1,Fragment exhaustion or a safety flag is not a negation; adequacy needs a theorem,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Negative evidence and Leant,E2,Excluded middle as the example separating non-derivability from negation,N,N,N,Y,Y,N,N,N,Y,3,3,no
Negative evidence and Leant,E3,The exact displayed edit is replayed; a smaller goal count is not completion,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Negative evidence and Leant,E4,Leant stays a Haskell service behind a Lean-owned adapter with opaque handles,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Negative evidence and Leant,E5,One budget for the whole request; cancellation; stale origins rejected; disposable workers,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Negative evidence and Leant,E6,Shared metavariables are committed transactionally,Y,Y,Y,P,Y,Y,Y,Y,Y,8,9,yes
Negative evidence and Leant,E7,A type is not a behavioral specification; finite tests certify only themselves,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,yes
Negative evidence and Leant,E8,"Leant is measured on compositions, separately from single-lemma lookup",Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Worked material,F1,Binomial inversion kernel with additive-group generality preserved,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Worked material,F2,Autonomous derivatives with range-local hypotheses preserved,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
Worked material,F3,Abel series coefficients over an arbitrary commutative rational algebra,N,Y,Y,Y,Y,N,Y,Y,N,6,6,no
Worked material,F4,Lambert-type derivative polynomials and their recurrence,N,N,Y,Y,N,Y,N,Y,N,4,4,no
Worked material,F5,Radical denesting with a branch certificate,Y,Y,Y,Y,Y,Y,Y,Y,Y,9,9,no
