id,mutation,required_behaviour,suites,Locus,Accord,Cadence,Concord,Facet,Meridian,Noema,Prism,Vantage
M1,Omit the inclusive endpoint of a finite reindexing,Coverage fails at the endpoint; the advertised method is not silently replaced by another proof,8,T01,A1,r4,r1,T4,F1,,N1,V18
M2,Use a non-injective index map as a bijection,"Reject, or switch visibly to a multiplicity-aware theorem",2,T02,A2,,,,,,,
M3,Apply the finite reindexing method to an infinite sum,Require the summability or rearrangement contract,2,T03,A3,,,,,,,
M4,Replace neighbourhood equality by equality at one point before differentiating,Derivative transfer stays open naming the missing eventual equality; no global smoothness is added,9,T04,A16,r8,r5,T5,A3,r2,N6,V17
M5,Exchange a limit and an integral from pointwise convergence alone,The analytic theorem's hypotheses remain explicit obligations,2,T05,,,,,,,,V19
M6,"Cancel a nonzero non-unit, or use a power certificate, in a ring with zero divisors",Require unit or regularity evidence; do not strengthen the ring,5,T06,,,r8,T6,V3,,,V11
M7,"Cancel a denominator that can vanish, or evaluate a cancelled expression at the excluded point","Keep the guard, split cases, or return a piecewise result; never publish the unconditional equality",8,T07,A6,r1,,T1,D1,r1,N4,V10
M8,Forget the domain of a partial function after normalizing it,Extension is a new object with its own agreement theorem,2,T08,,,,,D2,,,
M9,Return the negative radical candidate with the correct square,Reject the principal-root specification despite identical squares,8,T09,A9,r3,r6,T9,,r9,N11,V12
M10,Return the formal root with the wrong constant coefficient,Reject the branch condition of the root specification,1,T10,,,,,,,,
M11,Request a coefficient beyond the certified precision of a jet,Expose the failed index bound; recompute or refine,3,T11,A13,,,,,,,V6
M12,Differentiate a jet and keep its input precision,Lower the output order or request one more input coefficient,7,T12,,r7,r4,T8,,r3,N8,V7
M13,Read a formal identity or jet as an analytic statement,"Require a convergence, realization, or remainder theorem",6,T13,A15,,,T15,,r5,N9,V9
M14,Promote finitely many agreeing coefficients to a series identity or a universal formula,Retain only the finite statement; the universal claim stays open,5,,A12,r6,,T7,F2,r4,,
M15,"Present verified roots as the complete solution set, or omit a root",Soundness may pass; completeness or coverage must fail,9,T14,A10,r2,r7,T10,C2,r10,N10,V13
M16,"Reuse a branch-local fact in a sibling branch, possibly through a cache",Reject the context embedding regardless of printed similarity,6,T15,A19,,,T14,,r11,N14,V5
M17,Deliver a valid result after undo or an origin change,Mark it stale; it cannot mutate the current state,8,T19,A23,r10,r10,T14,,r11,N14,V23
M18,Change an instance or definition while the printed statement is unchanged,Invalidate the seal and display the semantic change,4,T16,,,,,P3,r18,N18,
M19,Import a second package with a conflicting convention or method name,Explicit selection; no silent shadowing,2,,A25,r14,,,,,,
M20,Let proof search instantiate a meaning-bearing statement hole,Keep the statement unresolved or request a visible source change,1,T17,,,,,,,,
M21,Cache or display suggested tactic text that differs from the tactic that was probed,Replay the exact displayed edit from the same origin before calling it verified,8,T18,A22,r11,r10,,L2,r15,N19,V21
